bdmem;objID2;fechaIni;fechaFin
CETC;Sbm19936;2023-04-26 00:00:00.000;NULL
CETC;Sbm19945;2023-04-26 00:00:00.000;NULL
CETC;Sbm19955;2014-02-20 00:00:00.000;NULL
CETC;Sbm20006;2023-06-15 00:00:00.000;NULL
CETC;Sbm20044;2014-03-13 00:00:00.000;NULL
CETC;Sbm21277;2014-12-11 00:00:00.000;NULL
CETC;Sbm21387;2023-04-26 00:00:00.000;2025-04-01 00:00:00.000
CETC;Sbm21412;2023-04-26 00:00:00.000;NULL
CETC;Sbm21958;2015-07-16 00:00:00.000;NULL
CETC;Sbm22892;2023-04-26 00:00:00.000;NULL
CETC;Sbm23151;2023-08-03 00:00:00.000;NULL
CETC;Sbm25325;2023-04-26 00:00:00.000;NULL
CETC;Sbm25342;2023-04-26 00:00:00.000;NULL
CETC;Sbm25344;2023-04-26 00:00:00.000;NULL
CETC;Sbm25784;2018-03-22 00:00:00.000;NULL
CETC;Sbm25887;2023-04-26 00:00:00.000;NULL
CETC;Sbm26119;2023-04-26 00:00:00.000;NULL
CETC;Sbm26489;2023-04-26 00:00:00.000;2024-01-02 00:00:00.000
CETC;Sbm26490;2023-04-26 00:00:00.000;NULL
CETC;Sbm26972;2023-04-26 00:00:00.000;NULL
CETC;Sbm27518;2023-04-26 00:00:00.000;NULL
CETC;Sbm27519;2023-04-26 00:00:00.000;NULL
CETC;Sbm28305;2021-11-18 00:00:00.000;NULL
CETC;Sbm28306;2021-11-18 00:00:00.000;NULL
CETC;Sbm29059;2023-04-26 00:00:00.000;NULL
CETC;Sbm29338;2019-09-01 00:00:00.000;NULL
CETC;Sbm31402;2023-04-26 00:00:00.000;2025-04-24 00:00:00.000
CETC;Sbm32312;2023-04-26 00:00:00.000;NULL
CETC;Sbm32530;2023-04-26 00:00:00.000;NULL
CETC;Sbm32531;2023-04-26 00:00:00.000;2024-07-21 00:00:00.000
CETC;Sbm33475;2023-04-26 00:00:00.000;NULL
CETC;Sbm34035;2021-03-04 00:00:00.000;NULL
CETC;Sbm34221;2023-04-26 00:00:00.000;NULL
CETC;Sbm34783;2023-04-26 00:00:00.000;NULL
CETC;Sbm35577;2023-04-26 00:00:00.000;NULL
CETC;Sbm41237;2023-04-26 00:00:00.000;NULL
CETC;Sbm41529;2023-04-26 00:00:00.000;2024-02-22 00:00:00.000
CETC;Sbm41676;2022-12-29 00:00:00.000;NULL
CETC;Sbm41752;2023-01-12 00:00:00.000;NULL
CETC;Sbm42120;2023-04-26 00:00:00.000;NULL
CETC;Sbm42253;2023-03-09 00:00:00.000;NULL
CETC;Sbm42408;2023-03-30 00:00:00.000;NULL
CETC;Sbm42409;2023-03-30 00:00:00.000;NULL
CETC;Sbm42410;2023-03-30 00:00:00.000;NULL
CETC;Sbm42411;2023-03-30 00:00:00.000;NULL
CETC;Sbm42698;2023-05-11 00:00:00.000;NULL
CETC;Sbm42699;2023-05-11 00:00:00.000;NULL
CETC;Sbm42700;2023-05-11 00:00:00.000;NULL
CETC;Sbm42701;2023-05-11 00:00:00.000;NULL
CETC;Sbm42702;2023-05-11 00:00:00.000;NULL
CETC;Sbm42703;2023-05-11 00:00:00.000;NULL
CETC;Sbm42833;2023-06-01 00:00:00.000;NULL
CETC;Sbm42834;2023-06-01 00:00:00.000;NULL
CETC;Sbm42835;2023-06-01 00:00:00.000;NULL
CETC;Sbm42836;2023-06-01 00:00:00.000;NULL
CETC;Sbm42837;2023-06-01 00:00:00.000;NULL
CETC;Sbm42838;2023-06-01 00:00:00.000;NULL
CETC;Sbm42839;2023-06-01 00:00:00.000;NULL
CETC;Sbm42840;2023-06-01 00:00:00.000;NULL
CETC;Sbm42841;2023-06-01 00:00:00.000;NULL
CETC;Sbm42842;2023-06-01 00:00:00.000;NULL
CETC;Sbm42843;2023-06-01 00:00:00.000;NULL
CETC;Sbm42844;2023-06-01 00:00:00.000;NULL
CETC;Sbm42845;2023-06-01 00:00:00.000;NULL
CETC;Sbm42846;2023-06-01 00:00:00.000;NULL
CETC;Sbm42847;2023-06-01 00:00:00.000;NULL
CETC;Sbm42848;2023-06-01 00:00:00.000;NULL
